Usage logs
Last refresh time: June 24, 2024 at 10:14 AM EDT
TIME (EDT)	MODEL	MODEL LATENCY	INPUT TOKENS	OUTPUT TOKENS	TYPE	ERROR
Jun 23, 2024, 5:29 PM	claude-3-5-sonnet-20240620	9.08	31527	442	sse	None
Jun 23, 2024, 5:28 PM	claude-3-5-sonnet-20240620	9.97	31029	450	sse	None
Jun 23, 2024, 5:26 PM	claude-3-5-sonnet-20240620	31.56	28762	2212	sse	None
Jun 23, 2024, 5:24 PM	claude-3-5-sonnet-20240620	10.07	27863	884	sse	None
Jun 23, 2024, 5:22 PM	claude-3-5-sonnet-20240620	10.60	26910	865	sse	None
Jun 23, 2024, 5:21 PM	claude-3-5-sonnet-20240620	3.94	26708	194	sse	None
Jun 23, 2024, 5:18 PM	claude-3-5-sonnet-20240620	6.54	24421	531	sse	None
Jun 23, 2024, 5:16 PM	claude-3-5-sonnet-20240620	8.01	23332	662	sse	None
Jun 23, 2024, 5:10 PM	claude-3-5-sonnet-20240620	6.00	22720	394	sse	None
Jun 23, 2024, 5:09 PM	claude-3-5-sonnet-20240620	16.98	20961	1586	sse	None
Jun 23, 2024, 5:01 PM	claude-3-5-sonnet-20240620	20.06	19120	1703	sse	None
Jun 23, 2024, 5:00 PM	claude-3-5-sonnet-20240620	14.16	17712	1394	sse	None
Jun 23, 2024, 4:55 PM	claude-3-5-sonnet-20240620	6.45	17268	381	sse	None
Jun 23, 2024, 4:54 PM	claude-3-5-sonnet-20240620	2.65	15956	154	sse	None
Jun 23, 2024, 4:52 PM	claude-3-5-sonnet-20240620	12.92	14753	1194	sse	None
Jun 23, 2024, 4:50 PM	claude-3-5-sonnet-20240620	12.00	13940	797	sse	None
Jun 23, 2024, 4:45 PM	claude-3-5-sonnet-20240620	20.67	10812	1908	sse	None
Jun 23, 2024, 4:44 PM	claude-3-5-sonnet-20240620	10.14	9981	818	sse	None
Jun 23, 2024, 4:39 PM	claude-3-5-sonnet-20240620	20.61	7755	1971	sse	None
Jun 23, 2024, 4:38 PM	claude-3-5-sonnet-20240620	13.76	6583	1145	sse	None
Jun 23, 2024, 4:24 PM	claude-3-5-sonnet-20240620	17.63	4238	1414	sse	None
Jun 23, 2024, 4:23 PM	claude-3-5-sonnet-20240620	12.89	3230	999	sse	None
Jun 23, 2024, 4:18 PM	claude-3-5-sonnet-20240620	9.63	7002	609	sse	None
Jun 23, 2024, 3:58 PM	claude-3-5-sonnet-20240620	14.74	24963	1248	sse	None
Jun 23, 2024, 3:54 PM	claude-3-5-sonnet-20240620	12.27	23526	1280	sse	None
Jun 23, 2024, 3:53 PM	claude-3-5-sonnet-20240620	9.83	22515	1000	sse	None
Jun 23, 2024, 3:52 PM	claude-3-5-sonnet-20240620	9.97	21332	1000	sse	None
Jun 23, 2024, 3:51 PM	claude-3-5-sonnet-20240620	9.66	20139	1000	sse	None
Jun 23, 2024, 3:50 PM	claude-3-5-sonnet-20240620	10.99	18955	1000	sse	None
Jun 23, 2024, 3:46 PM	claude-3-5-sonnet-20240620	4.74	18484	306	sse	None
Jun 23, 2024, 3:45 PM	claude-3-5-sonnet-20240620	11.31	17114	1000	sse	None
Jun 23, 2024, 3:44 PM	claude-3-5-sonnet-20240620	11.37	15880	998	sse	None
Jun 23, 2024, 3:43 PM	claude-3-5-sonnet-20240620	12.09	14864	1000	sse	None
Jun 23, 2024, 3:39 PM	claude-3-5-sonnet-20240620	9.91	13174	850	sse	None
Jun 23, 2024, 3:38 PM	claude-3-5-sonnet-20240620	2.95	12810	158	sse	None
Jun 23, 2024, 3:37 PM	claude-3-5-sonnet-20240620	11.08	11913	883	sse	None
Jun 23, 2024, 3:36 PM	claude-3-5-sonnet-20240620	9.55	10323	789	sse	None
Jun 23, 2024, 3:34 PM	claude-3-5-sonnet-20240620	11.27	9234	870	sse	None
Jun 23, 2024, 3:28 PM	claude-3-5-sonnet-20240620	11.32	4427	1000	sse	None
Jun 23, 2024, 3:27 PM	claude-3-5-sonnet-20240620	4.82	4130	276	sse	None
Jun 23, 2024, 3:23 PM	claude-3-5-sonnet-20240620	2.41	3630	67	sse	None
Jun 23, 2024, 2:55 PM	claude-3-5-sonnet-20240620	9.00	1309	900	sse	None
Jun 23, 2024, 2:55 PM	claude-3-5-sonnet-20240620	6.63	302	525	sse	None
Jun 21, 2024, 4:44 PM	claude-3-5-sonnet-20240620	1.64	824	76	sse	None
Jun 21, 2024, 4:43 PM	claude-3-5-sonnet-20240620	2.68	675	127	sse	None
Jun 21, 2024, 4:43 PM	claude-3-5-sonnet-20240620	1.93	562	83	sse	None
Jun 21, 2024, 4:42 PM	claude-3-5-sonnet-20240620	1.12	489	47	sse	None
Jun 21, 2024, 4:41 PM	claude-3-5-sonnet-20240620	2.61	15043	118	sse	None
Jun 21, 2024, 4:40 PM	claude-3-5-sonnet-20240620	2.45	14894	139	sse	None
Jun 21, 2024, 4:40 PM	claude-3-5-sonnet-20240620	1.31	14816	44	sse	None
Jun 21, 2024, 4:39 PM	claude-3-5-sonnet-20240620	3.74	14643	161	sse	None
Jun 21, 2024, 4:38 PM	claude-3-5-sonnet-20240620	2.99	14497	135	sse	None
Jun 21, 2024, 4:38 PM	claude-3-5-sonnet-20240620	10.59	14492	617	sse	None
Jun 21, 2024, 4:37 PM	claude-3-5-sonnet-20240620	6.67	14131	352	sse	None
Jun 21, 2024, 4:37 PM	claude-3-5-sonnet-20240620	3.72	13942	172	sse	None
Jun 21, 2024, 4:36 PM	claude-3-5-sonnet-20240620	7.07	13602	326	sse	None
Jun 21, 2024, 4:30 PM	claude-3-5-sonnet-20240620	7.02	13064	526	sse	None
Jun 21, 2024, 4:29 PM	claude-3-5-sonnet-20240620	5.32	12780	263	sse	None
Jun 21, 2024, 4:28 PM	claude-3-5-sonnet-20240620	18.09	11538	1223	sse	None
Jun 21, 2024, 4:27 PM	claude-3-5-sonnet-20240620	18.02	10298	1224	sse	None
Jun 21, 2024, 4:26 PM	claude-3-5-sonnet-20240620	18.68	9010	1271	sse	None
Jun 21, 2024, 4:25 PM	claude-3-5-sonnet-20240620	10.38	8137	841	sse	None
Jun 21, 2024, 4:23 PM	claude-3-5-sonnet-20240620	5.84	7686	395	sse	None
Jun 21, 2024, 4:22 PM	claude-3-5-sonnet-20240620	14.50	6671	980	sse	None
Jun 21, 2024, 4:20 PM	claude-3-5-sonnet-20240620	57.34	6315	4000	sse	None
Jun 21, 2024, 4:20 PM	claude-3-5-sonnet-20240620	5.92	5950	353	sse	None
Jun 21, 2024, 4:19 PM	claude-3-5-sonnet-20240620	18.83	4657	1271	sse	None
Jun 21, 2024, 4:17 PM	claude-3-5-sonnet-20240620	58.44	491	4000	sse	None
Jun 21, 2024, 3:26 PM	claude-3-5-sonnet-20240620	13.61	16486	871	sse	None
Jun 21, 2024, 3:23 PM	claude-3-5-sonnet-20240620	5.08	15299	196	sse	None
Jun 21, 2024, 9:10 AM	claude-3-5-sonnet-20240620	25.23	13361	1910	sse	None
Jun 21, 2024, 8:09 AM	claude-3-5-sonnet-20240620	18.39	12402	1000	sse	None
Jun 20, 2024, 5:28 PM	claude-3-5-sonnet-20240620	4.59	221	226	sse	None
